DateTime (Local Time);Serial number;Active Energy Import Total;Unit;Active Energy Import Tariff 1;Unit;Active Energy Import Tariff 2;Unit
4/18/2025 7:41:21 PM;203626;336206;Wh;;;;;
4/18/2025 7:42:16 PM;203626;336209;Wh;;;;;
4/18/2025 7:43:12 PM;203626;336212;Wh;;;;;
4/18/2025 7:44:08 PM;203626;336215;Wh;;;;;
4/18/2025 7:45:04 PM;203626;336218;Wh;;;;;
4/18/2025 7:46:00 PM;203626;336221;Wh;;;;;
4/18/2025 7:47:19 PM;203626;336226;Wh;;;;;
4/18/2025 7:48:20 PM;203626;336229;Wh;;;;;
4/18/2025 7:49:21 PM;203626;336232;Wh;;;;;
4/18/2025 7:50:22 PM;203626;336236;Wh;;;;;
4/18/2025 7:51:23 PM;203626;336239;Wh;;;;;
4/18/2025 7:52:24 PM;203626;336242;Wh;;;;;
4/18/2025 7:53:25 PM;203626;336246;Wh;;;;;
4/18/2025 7:54:26 PM;203626;336249;Wh;;;;;
4/18/2025 7:55:27 PM;203626;336252;Wh;;;;;
4/18/2025 7:56:28 PM;203626;336256;Wh;;;;;
4/18/2025 7:57:29 PM;203626;336259;Wh;;;;;
4/18/2025 7:58:30 PM;203626;336263;Wh;;;;;
4/18/2025 7:59:31 PM;203626;336266;Wh;;;;;
4/18/2025 8:00:32 PM;203626;336269;Wh;;;;;
4/18/2025 8:01:34 PM;203626;336273;Wh;;;;;
4/18/2025 8:02:35 PM;203626;336276;Wh;;;;;
4/18/2025 8:03:36 PM;203626;336279;Wh;;;;;
4/18/2025 8:05:13 PM;203626;336285;Wh;;;;;
4/18/2025 8:06:14 PM;203626;336288;Wh;;;;;
4/18/2025 8:07:15 PM;203626;336291;Wh;;;;;
4/18/2025 8:08:16 PM;203626;336295;Wh;;;;;
4/18/2025 8:09:17 PM;203626;336298;Wh;;;;;
4/18/2025 8:10:18 PM;203626;336302;Wh;;;;;
4/18/2025 8:11:19 PM;203626;336305;Wh;;;;;
