time;timedelta;total;kwh_diff;usage
2025-04-18 19:42:16;0:00:55;336209;3;196.36363636363637
2025-04-18 19:43:12;0:00:56;336212;3;192.85714285714286
2025-04-18 19:44:08;0:00:56;336215;3;192.85714285714286
2025-04-18 19:45:04;0:00:56;336218;3;192.85714285714286
2025-04-18 19:46:00;0:00:56;336221;3;192.85714285714286
2025-04-18 19:47:19;0:01:19;336226;5;227.8481012658228
2025-04-18 19:48:20;0:01:01;336229;3;177.04918032786884
2025-04-18 19:49:21;0:01:01;336232;3;177.04918032786884
2025-04-18 19:50:22;0:01:01;336236;4;236.0655737704918
2025-04-18 19:51:23;0:01:01;336239;3;177.04918032786884
2025-04-18 19:52:24;0:01:01;336242;3;177.04918032786884
2025-04-18 19:53:25;0:01:01;336246;4;236.0655737704918
2025-04-18 19:54:26;0:01:01;336249;3;177.04918032786884
2025-04-18 19:55:27;0:01:01;336252;3;177.04918032786884
2025-04-18 19:56:28;0:01:01;336256;4;236.0655737704918
2025-04-18 19:57:29;0:01:01;336259;3;177.04918032786884
2025-04-18 19:58:30;0:01:01;336263;4;236.0655737704918
2025-04-18 19:59:31;0:01:01;336266;3;177.04918032786884
2025-04-18 20:00:32;0:01:01;336269;3;177.04918032786884
2025-04-18 20:01:34;0:01:02;336273;4;232.25806451612902
2025-04-18 20:02:35;0:01:01;336276;3;177.04918032786884
2025-04-18 20:03:36;0:01:01;336279;3;177.04918032786884
2025-04-18 20:05:13;0:01:37;336285;6;222.68041237113403
2025-04-18 20:06:14;0:01:01;336288;3;177.04918032786884
2025-04-18 20:07:15;0:01:01;336291;3;177.04918032786884
2025-04-18 20:08:16;0:01:01;336295;4;236.0655737704918
2025-04-18 20:09:17;0:01:01;336298;3;177.04918032786884
2025-04-18 20:10:18;0:01:01;336302;4;236.0655737704918
2025-04-18 20:11:19;0:01:01;336305;3;177.04918032786884
