DateTime (Local Time);Serial number;Active Energy Import Total;Unit;Active Energy Import Tariff 1;Unit;Active Energy Import Tariff 2;Unit
4/19/2025 9:51:55 AM;203626;341530;Wh;;;;;
4/19/2025 9:52:51 AM;203626;341537;Wh;;;;;
4/19/2025 9:53:47 AM;203626;341544;Wh;;;;;
4/19/2025 9:54:43 AM;203626;341551;Wh;;;;;
4/19/2025 9:55:39 AM;203626;341556;Wh;;;;;
4/19/2025 9:57:18 AM;203626;341568;Wh;;;;;
4/19/2025 9:58:47 AM;203626;341579;Wh;;;;;
4/19/2025 9:59:48 AM;203626;341584;Wh;;;;;
4/19/2025 10:00:49 AM;203626;341588;Wh;;;;;
4/19/2025 10:01:50 AM;203626;341591;Wh;;;;;
4/19/2025 10:02:51 AM;203626;341595;Wh;;;;;
4/19/2025 10:03:46 AM;203626;341600;Wh;;;;;
4/19/2025 10:04:42 AM;203626;341607;Wh;;;;;
4/19/2025 10:05:37 AM;203626;341613;Wh;;;;;
4/19/2025 10:06:33 AM;203626;341620;Wh;;;;;
4/19/2025 10:07:29 AM;203626;341626;Wh;;;;;
4/19/2025 10:08:24 AM;203626;341633;Wh;;;;;
4/19/2025 10:09:19 AM;203626;341639;Wh;;;;;
4/19/2025 10:10:14 AM;203626;341645;Wh;;;;;
4/19/2025 10:11:10 AM;203626;341652;Wh;;;;;
4/19/2025 10:12:06 AM;203626;341659;Wh;;;;;
4/19/2025 10:13:01 AM;203626;341666;Wh;;;;;
4/19/2025 10:13:57 AM;203626;341672;Wh;;;;;
4/19/2025 10:14:52 AM;203626;341678;Wh;;;;;
4/19/2025 10:15:47 AM;203626;341685;Wh;;;;;
4/19/2025 10:16:42 AM;203626;341692;Wh;;;;;
4/19/2025 10:17:37 AM;203626;341697;Wh;;;;;
4/19/2025 10:18:32 AM;203626;341704;Wh;;;;;
4/19/2025 10:19:46 AM;203626;341713;Wh;;;;;
4/19/2025 10:20:47 AM;203626;341720;Wh;;;;;
4/19/2025 10:21:48 AM;203626;341725;Wh;;;;;
