time;timedelta;total;kwh_diff;usage
2025-04-19 09:52:51;0:00:56;341537;7;450.0
2025-04-19 09:53:47;0:00:56;341544;7;450.0
2025-04-19 09:54:43;0:00:56;341551;7;450.0
2025-04-19 09:55:39;0:00:56;341556;5;321.42857142857144
2025-04-19 09:57:18;0:01:39;341568;12;436.3636363636364
2025-04-19 09:58:47;0:01:29;341579;11;444.9438202247191
2025-04-19 10:03:46;0:00:55;341600;5;327.2727272727273
2025-04-19 10:04:42;0:00:56;341607;7;450.0
2025-04-19 10:05:37;0:00:55;341613;6;392.72727272727275
2025-04-19 10:06:33;0:00:56;341620;7;450.0
2025-04-19 10:07:29;0:00:56;341626;6;385.7142857142857
2025-04-19 10:08:24;0:00:55;341633;7;458.1818181818182
2025-04-19 10:09:19;0:00:55;341639;6;392.72727272727275
2025-04-19 10:10:14;0:00:55;341645;6;392.72727272727275
2025-04-19 10:11:10;0:00:56;341652;7;450.0
2025-04-19 10:12:06;0:00:56;341659;7;450.0
2025-04-19 10:13:01;0:00:55;341666;7;458.1818181818182
2025-04-19 10:13:57;0:00:56;341672;6;385.7142857142857
2025-04-19 10:14:52;0:00:55;341678;6;392.72727272727275
2025-04-19 10:15:47;0:00:55;341685;7;458.1818181818182
2025-04-19 10:16:42;0:00:55;341692;7;458.1818181818182
2025-04-19 10:17:37;0:00:55;341697;5;327.2727272727273
2025-04-19 10:18:32;0:00:55;341704;7;458.1818181818182
2025-04-19 10:19:46;0:01:14;341713;9;437.8378378378378
2025-04-19 10:20:47;0:01:01;341720;7;413.1147540983606
