DateTime (Local Time);Serial number;Active Energy Import Total;Unit;Active Energy Import Tariff 1;Unit;Active Energy Import Tariff 2;Unit
4/20/2025 9:25:05 AM;203626;350955;Wh;;;;;
4/20/2025 9:26:01 AM;203626;350962;Wh;;;;;
4/20/2025 9:26:56 AM;203626;350970;Wh;;;;;
4/20/2025 9:27:51 AM;203626;350977;Wh;;;;;
4/20/2025 9:28:48 AM;203626;350985;Wh;;;;;
4/20/2025 9:29:44 AM;203626;350992;Wh;;;;;
4/20/2025 9:30:40 AM;203626;351000;Wh;;;;;
4/20/2025 9:31:35 AM;203626;351007;Wh;;;;;
4/20/2025 9:32:30 AM;203626;351015;Wh;;;;;
4/20/2025 9:33:25 AM;203626;351022;Wh;;;;;
4/20/2025 9:34:20 AM;203626;351029;Wh;;;;;
4/20/2025 9:35:16 AM;203626;351037;Wh;;;;;
4/20/2025 9:36:11 AM;203626;351044;Wh;;;;;
4/20/2025 9:37:06 AM;203626;351052;Wh;;;;;
4/20/2025 9:38:58 AM;203626;351067;Wh;;;;;
4/20/2025 9:39:59 AM;203626;351075;Wh;;;;;
4/20/2025 9:41:00 AM;203626;351083;Wh;;;;;
4/20/2025 9:42:01 AM;203626;351091;Wh;;;;;
4/20/2025 9:43:02 AM;203626;351099;Wh;;;;;
4/20/2025 9:44:02 AM;203626;351108;Wh;;;;;
4/20/2025 9:45:03 AM;203626;351116;Wh;;;;;
4/20/2025 9:46:04 AM;203626;351124;Wh;;;;;
4/20/2025 9:47:05 AM;203626;351132;Wh;;;;;
4/20/2025 9:48:06 AM;203626;351140;Wh;;;;;
4/20/2025 9:49:02 AM;203626;351148;Wh;;;;;
4/20/2025 9:50:25 AM;203626;351159;Wh;;;;;
4/20/2025 9:51:26 AM;203626;351167;Wh;;;;;
4/20/2025 9:52:27 AM;203626;351175;Wh;;;;;
4/20/2025 9:53:28 AM;203626;351183;Wh;;;;;
4/20/2025 9:54:29 AM;203626;351192;Wh;;;;;
4/20/2025 9:55:30 AM;203626;351200;Wh;;;;;
4/20/2025 9:56:25 AM;203626;351206;Wh;;;;;
