time;timedelta;total;kwh_diff;usage
2025-04-20 09:26:01;0:00:56;350962;7;450.0
2025-04-20 09:26:56;0:00:55;350970;8;523.6363636363636
2025-04-20 09:27:51;0:00:55;350977;7;458.1818181818182
2025-04-20 09:28:48;0:00:57;350985;8;505.2631578947368
2025-04-20 09:29:44;0:00:56;350992;7;450.0
2025-04-20 09:30:40;0:00:56;351000;8;514.2857142857143
2025-04-20 09:31:35;0:00:55;351007;7;458.1818181818182
2025-04-20 09:32:30;0:00:55;351015;8;523.6363636363636
2025-04-20 09:33:25;0:00:55;351022;7;458.1818181818182
2025-04-20 09:34:20;0:00:55;351029;7;458.1818181818182
2025-04-20 09:35:16;0:00:56;351037;8;514.2857142857143
2025-04-20 09:36:11;0:00:55;351044;7;458.1818181818182
2025-04-20 09:37:06;0:00:55;351052;8;523.6363636363636
2025-04-20 09:38:58;0:01:52;351067;15;482.14285714285717
2025-04-20 09:39:59;0:01:01;351075;8;472.1311475409836
2025-04-20 09:41:00;0:01:01;351083;8;472.1311475409836
2025-04-20 09:42:01;0:01:01;351091;8;472.1311475409836
2025-04-20 09:43:02;0:01:01;351099;8;472.1311475409836
2025-04-20 09:44:02;0:01:00;351108;9;540.0
2025-04-20 09:45:03;0:01:01;351116;8;472.1311475409836
2025-04-20 09:46:04;0:01:01;351124;8;472.1311475409836
2025-04-20 09:47:05;0:01:01;351132;8;472.1311475409836
2025-04-20 09:48:06;0:01:01;351140;8;472.1311475409836
2025-04-20 09:49:02;0:00:56;351148;8;514.2857142857143
2025-04-20 09:50:25;0:01:23;351159;11;477.10843373493975
2025-04-20 09:51:26;0:01:01;351167;8;472.1311475409836
2025-04-20 09:52:27;0:01:01;351175;8;472.1311475409836
2025-04-20 09:53:28;0:01:01;351183;8;472.1311475409836
2025-04-20 09:54:29;0:01:01;351192;9;531.1475409836065
2025-04-20 09:55:30;0:01:01;351200;8;472.1311475409836
2025-04-20 09:56:25;0:00:55;351206;6;392.72727272727275
