DateTime (Local Time);Serial number;Active Energy Import Total;Unit;Active Energy Import Tariff 1;Unit;Active Energy Import Tariff 2;Unit
4/23/2025 10:35:49 AM;203626;366026;Wh;;;;;
4/23/2025 10:37:44 AM;203626;366033;Wh;;;;;
4/23/2025 10:38:45 AM;203626;366037;Wh;;;;;
4/23/2025 10:39:46 AM;203626;366041;Wh;;;;;
4/23/2025 10:40:47 AM;203626;366046;Wh;;;;;
4/23/2025 10:41:48 AM;203626;366050;Wh;;;;;
4/23/2025 10:42:49 AM;203626;366054;Wh;;;;;
4/23/2025 10:43:50 AM;203626;366058;Wh;;;;;
4/23/2025 10:44:51 AM;203626;366062;Wh;;;;;
4/23/2025 10:45:52 AM;203626;366066;Wh;;;;;
4/23/2025 10:46:53 AM;203626;366070;Wh;;;;;
4/23/2025 10:47:54 AM;203626;366074;Wh;;;;;
4/23/2025 10:48:55 AM;203626;366078;Wh;;;;;
4/23/2025 10:49:56 AM;203626;366082;Wh;;;;;
4/23/2025 10:50:57 AM;203626;366086;Wh;;;;;
4/23/2025 10:51:58 AM;203626;366090;Wh;;;;;
4/23/2025 10:52:59 AM;203626;366094;Wh;;;;;
4/23/2025 10:53:54 AM;203626;366098;Wh;;;;;
4/23/2025 10:55:14 AM;203626;366103;Wh;;;;;
4/23/2025 10:56:15 AM;203626;366107;Wh;;;;;
4/23/2025 10:57:16 AM;203626;366111;Wh;;;;;
4/23/2025 10:58:17 AM;203626;366115;Wh;;;;;
4/23/2025 11:00:12 AM;203626;366123;Wh;;;;;
4/23/2025 11:01:13 AM;203626;366127;Wh;;;;;
4/23/2025 11:02:14 AM;203626;366131;Wh;;;;;
4/23/2025 11:03:15 AM;203626;366136;Wh;;;;;
4/23/2025 11:04:16 AM;203626;366140;Wh;;;;;
4/23/2025 11:05:17 AM;203626;366144;Wh;;;;;
