time;timedelta;total;kwh_diff;usage
2025-04-23 10:37:44;0:01:55;366033;7;219.13043478260872
2025-04-23 10:38:45;0:01:01;366037;4;236.0655737704918
2025-04-23 10:39:46;0:01:01;366041;4;236.0655737704918
2025-04-23 10:40:47;0:01:01;366046;5;295.08196721311475
2025-04-23 10:41:48;0:01:01;366050;4;236.0655737704918
2025-04-23 10:42:49;0:01:01;366054;4;236.0655737704918
2025-04-23 10:43:50;0:01:01;366058;4;236.0655737704918
2025-04-23 10:44:51;0:01:01;366062;4;236.0655737704918
2025-04-23 10:45:52;0:01:01;366066;4;236.0655737704918
2025-04-23 10:46:53;0:01:01;366070;4;236.0655737704918
2025-04-23 10:47:54;0:01:01;366074;4;236.0655737704918
2025-04-23 10:48:55;0:01:01;366078;4;236.0655737704918
2025-04-23 10:49:56;0:01:01;366082;4;236.0655737704918
2025-04-23 10:50:57;0:01:01;366086;4;236.0655737704918
2025-04-23 10:51:58;0:01:01;366090;4;236.0655737704918
2025-04-23 10:52:59;0:01:01;366094;4;236.0655737704918
2025-04-23 10:53:54;0:00:55;366098;4;261.8181818181818
2025-04-23 10:55:14;0:01:20;366103;5;225.0
2025-04-23 10:56:15;0:01:01;366107;4;236.0655737704918
2025-04-23 10:57:16;0:01:01;366111;4;236.0655737704918
2025-04-23 10:58:17;0:01:01;366115;4;236.0655737704918
2025-04-23 11:00:12;0:01:55;366123;8;250.43478260869568
2025-04-23 11:01:13;0:01:01;366127;4;236.0655737704918
2025-04-23 11:02:14;0:01:01;366131;4;236.0655737704918
2025-04-23 11:03:15;0:01:01;366136;5;295.08196721311475
2025-04-23 11:04:16;0:01:01;366140;4;236.0655737704918
2025-04-23 11:05:17;0:01:01;366144;4;236.0655737704918
